env,room,query_id,model,edt_s,c50_db,t60_pct
haa,class_room,mic533,simplevit,0.265034,4.95876,8.12336
haa,class_room,mic534,simplevit,0.0454422,2.82894,1.7768
haa,class_room,mic536,simplevit,0.256054,4.83209,7.3389
haa,class_room,mic537,simplevit,0.285986,5.17925,12.0278
haa,class_room,mic538,simplevit,0.0889796,2.80943,1.84386
haa,class_room,mic540,simplevit,0.0985034,1.66637,1.51721
haa,class_room,mic541,simplevit,0.000816327,0.0759643,3.42568
haa,class_room,mic542,simplevit,0.00571429,0.536146,3.22218
haa,class_room,mic544,simplevit,0.0838095,0.738846,0.19305
haa,class_room,mic545,simplevit,0.054966,0.892082,5.77555
haa,class_room,mic546,simplevit,0.0380952,1.38926,1.44475
haa,class_room,mic548,simplevit,0.0277551,0.275629,2.00185
haa,class_room,mic549,simplevit,0.0315646,0.989777,2.31988
haa,class_room,mic550,simplevit,0.100136,1.6328,4.62551
haa,class_room,mic552,simplevit,0.0155102,0.470001,1.25701
haa,class_room,mic553,simplevit,0.135238,2.10666,1.70107
haa,class_room,mic554,simplevit,0.0182313,0.258993,5.06112
haa,class_room,mic556,simplevit,0.0489796,0.17609,1.66031
haa,class_room,mic557,simplevit,0.0367347,0.446255,4.12309
haa,class_room,mic558,simplevit,0.0380952,1.21496,6.70368
haa,class_room,mic560,simplevit,0.145034,2.46449,1.97418
haa,class_room,mic561,simplevit,0.0557823,0.29835,2.44281
haa,class_room,mic562,simplevit,0.0160544,0.30551,0.846124
haa,class_room,mic564,simplevit,0.159184,3.02863,12.9233
haa,class_room,mic565,simplevit,0.155646,3.45959,8.57882
haa,class_room,mic566,simplevit,0.0563265,1.94707,0.493583
haa,class_room,mic568,simplevit,0.0780952,0.893551,2.85268
haa,class_room,mic569,simplevit,0.0612245,0.868298,0.856531
haa,class_room,mic572,simplevit,0.0642177,1.75154,2.36977
haa,class_room,mic573,simplevit,0.159456,4.09835,7.56232
haa,class_room,mic574,simplevit,0.195646,3.92564,0.431211
haa,class_room,mic576,simplevit,0.125442,0.92006,1.1096
haa,class_room,mic577,simplevit,0.0206803,0.35007,4.06081
haa,class_room,mic578,simplevit,0.243537,5.31649,6.2052
haa,class_room,mic580,simplevit,0.241633,6.28374,3.82139
haa,class_room,mic581,simplevit,0.14966,4.15566,0.827586
haa,class_room,mic582,simplevit,0.0272109,0.62231,7.01573
haa,class_room,mic584,simplevit,0.0201361,0.133942,1.75729
haa,class_room,mic585,simplevit,0.209796,4.84818,4.62439
haa,class_room,mic586,simplevit,0.209252,5.16361,1.83579
haa,class_room,mic588,simplevit,0.0157823,0.456547,0.535578
haa,class_room,mic589,simplevit,0.0870748,2.17166,6.59949
haa,class_room,mic590,simplevit,0.0312925,1.78041,9.73433
haa,class_room,mic592,simplevit,0.219592,4.5087,3.61373
haa,class_room,mic593,simplevit,0.278095,6.40655,3.3565
